sigungu,jibun,apt_name,exclusive_use_area,transaction_year_month,transaction_day,transaction_real_price,floor,year_of_completion,train_test_sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201401,2,96000,10,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201401,6,70000,10,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201401,7,87000,11,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201401,7,70000,9,1983,sub
서울특별시 강남구 대치동,503,개포우성1,158.54,201401,11,80000,9,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201401,20,94000,6,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201401,25,60000,13,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201401,27,82000,12,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201402,12,85000,1,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201402,19,60000,15,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201402,24,72000,6,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201402,26,63000,11,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201402,26,95000,14,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201403,8,90000,2,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201403,11,75000,3,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201403,17,65000,10,1983,sub
서울특별시 강남구 대치동,503,개포우성1,158.54,201403,19,99000,2,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201403,20,86000,5,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201403,20,65000,10,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201403,28,65000,15,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201404,9,57000,1,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201404,16,66000,15,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201404,16,67000,6,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201404,19,89000,7,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201404,21,67000,14,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201404,22,87000,9,1983,sub
서울특별시 강남구 대치동,503,개포우성1,189.98,201404,26,75000,8,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201404,26,68000,12,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201404,30,55000,2,1983,sub
서울특별시 강남구 대치동,503,개포우성1,158.54,201405,9,120000,14,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201405,26,65000,9,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201405,28,64000,12,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201405,29,75000,1,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201405,31,63000,13,1983,sub
서울특별시 강남구 대치동,503,개포우성1,158.54,201406,5,115000,13,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201406,6,65000,14,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201406,9,62000,5,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201406,16,80000,7,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201406,17,65000,9,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201406,19,68000,8,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201406,24,75000,7,1983,sub
서울특별시 강남구 대치동,503,개포우성1,127.61,201406,27,85000,14,1983,sub
서울특별시 강남구 대치동,503,개포우성1,84.81,201407,3,63000,3,1983,sub
